Date,Site,Fraction,Acquisition Time,QC Status,"P Oshift 31/47
Oxygen DRC
(ppb)","Ca KED 43/43
Helium KED_Low
(ppb)","Fe (54) NH3 54/54
Ammonia DRC
(ppb)","Cu (65) NH3 65/65
Ammonia DRC
(ppb)","Zn NH3 66/66
Ammonia DRC
(ppb)","As Oshift 75/91
Oxygen DRC
(ppb)","Se (80) Oshift 80/96
Oxygen DRC
(ppb)","Mo (95) NH3 95/95
Ammonia DRC
(ppb)","Cd (111) NH3 111/111
Ammonia DRC
(ppb)","Pb NH3 208/208
Ammonia DRC
(ppb)"
10/1/2021,11,UF,06/16/2023 21:56:03,Passed,3.845,35413.076,1.613,1.001,5.210,3.739,0.086,2.819,0.007,0.055
10/15/2021,1,UF,06/17/2023 05:23:09,Failed,4.423,43622.016,0.908,0.595,1.730,2.552,0.044,20.213,0.009,0.032
10/15/2021,1,UF,06/17/2023 05:29:28,Failed,4.675,44445.534,0.882,0.602,1.715,2.573,0.037,20.248,0.009,0.031
10/15/2021,6,UF,06/17/2023 05:35:27,Failed,2.890,40607.087,1.751,1.319,3.849,2.699,0.072,10.852,0.014,0.045
10/15/2021,6,UF,06/17/2023 05:41:46,Failed,2.813,39413.066,1.702,1.316,3.833,2.637,0.072,10.718,0.018,0.047
10/15/2021,8,UF,06/17/2023 05:47:46,Failed,2.673,40130.250,0.769,1.240,3.456,3.246,0.067,9.996,0.010,0.042
10/15/2021,8,UF,06/17/2023 05:54:04,Failed,2.755,40438.484,0.748,1.232,3.480,3.215,0.084,10.014,0.009,0.042
10/15/2021,8,UF,06/17/2023 07:01:37,Failed,2.634,41227.562,1.596,1.258,2.648,3.277,0.089,10.070,0.010,0.047
10/15/2021,8,UF,06/17/2023 07:07:56,Failed,2.816,39826.898,1.611,1.228,2.648,3.171,0.086,9.900,0.013,0.046
10/15/2021,9,UF,06/17/2023 07:26:13,Failed,6.792,35857.393,0.520,1.085,2.838,2.596,0.062,7.035,0.011,0.029
10/15/2021,9,UF,06/17/2023 07:32:31,Failed,6.099,35627.249,0.484,1.086,2.871,2.632,0.051,7.041,0.010,0.031
