"","ndate","SITE_DISTANCE","OM.AREA.g.m2","Al"
"82",18828,64.82,7.934072207,26.0878195827269
"83",18828,64.82,14.45109527,25.200965110944
"84",18828,89.22,35.8050438,20.260871655144
"85",18828,89.22,10.59746986,23.6911878371457
"86",18828,89.22,5.050868248,24.4459846815405
"87",18828,89.22,7.9878546,24.0463114788132
"88",18828,89.22,8.184277254,24.0195817423407
"89",18828,144.32,10.43846105,19.1192267052045
"90",18828,167.82,6.383736258,17.7118471605292
"91",18828,167.82,14.77378963,16.5701055586466
"92",18828,167.82,16.43870546,16.3435392208105
"93",18842,167.82,15.60332459,14.68770546
"94",18842,167.82,4.06524743,13.50757576
"95",18842,64.82,7.340127514,21.87664042
"96",18842,89.22,5.15609467,43.3
"97",18842,144.32,3.642003378,17.58691207
"98",18842,0,8.245074742,12.91208791
"99",18842,0,5.098804729,16.02473498
"100",18842,0,20.62437868,4.239414532
"101",18842,0,2.623645451,20.24853801
"102",18842,0,4.349358769,19.4984326
"103",18842,44.9,9.885437741,3.728912158
"104",18842,44.9,7.598516839,9.803536346
"105",18842,44.9,8.046313723,10.1298269
"106",18842,44.9,7.510828154,49.89655172
"107",18842,44.9,8.022930074,18.48885794
"108",18842,64.82,9.620033321,8.934634975
"109",18842,64.82,8.745484837,9.681688126
"110",18842,64.82,6.430503557,9.254385965
"111",18842,64.82,22.31384734,1.844059406
"112",18842,89.22,3.66187948,17.92936803
"113",18842,89.22,12.94518825,9.561068702
"114",18842,89.22,1.031218934,9.579380139
"115",18842,89.22,12.88439076,16.61383285
"116",18842,144.32,7.051339446,11.33422104
"117",18842,144.32,13.35323293,22.6199262
"118",18842,144.32,3.019998307,12.90738866
"119",18842,144.32,5.892679623,17.54931715
"120",18842,167.82,4.068754978,12.72352132
"121",18842,167.82,7.047831898,23.92339545
"122",18842,167.82,26.73452624,12.16273442
"123",18856,0,4.629962561,41.94029851
"124",18856,0,4.758572632,49.04362416
"125",18856,0,0.708190522,31.53684211
"126",18856,0,6.266818012,30.32163743
"127",18856,0,8.663642065,30.97674419
"128",18856,44.9,5.143233663,104.3706294
"129",18856,44.9,9.94681982,25.86032389
"130",18856,44.9,9.470377966,8.348672101
"131",18856,44.9,9.712398736,14.84932593
"132",18856,44.9,4.195026684,11.5697446
"133",18856,64.82,4.332990215,57.68398268
"134",18856,64.82,3.846610309,33.47560976
"135",18856,64.82,3.619788911,79.74860335
"136",18856,64.82,10.21047047,43.30188679
"137",18856,64.82,9.902975478,22.847786218383
"138",18856,89.22,5.81083685,13.60869565
"139",18856,89.22,8.791082953,50
"140",18856,89.22,9.698368546,43.87987013
"141",18856,89.22,8.038129446,25.13816926
"142",18856,89.22,7.955117491,26.12403101
"143",18856,89.22,8.73262383,53.42391304
"144",18856,89.22,9.513637717,55.40425532
"145",18856,144.32,26.30660546,10.30615124
"146",18856,144.32,9.470377966,9.150197628
"147",18856,144.32,15.88334379,8.386333771
"148",18856,144.32,23.51342855,14.54152249
"149",18856,144.32,11.45798816,5.75307748
"150",18856,144.32,15.63898465,11.4326484
"151",18879,89.22,9.263432669,14.15319149
"152",18879,89.22,12.36761211,18.0368349108895
"153",18879,89.22,10.44313778,20.66749073
