,DAY,MONTH,YEAR,DATE,FRACTION,SITE,Element,Concentration
406,6,21,2021,6/21/2021,W,1,Cr_NH3,0.242424242
407,6,21,2021,6/21/2021,W,1,Fe_NH3,116.0707071
408,6,21,2021,6/21/2021,W,1,Mn,82.62626263
409,6,21,2021,6/21/2021,W,1,Fe_KED,116.3131313
410,6,21,2021,6/21/2021,W,1,Co,0.341355774
411,6,21,2021,6/21/2021,W,1,Ni,0.757575758
412,6,21,2021,6/21/2021,W,1,Cu_KED,5.131448192
413,6,21,2021,6/21/2021,W,1,Cu_NH3,5.273428219
414,6,21,2021,6/21/2021,W,1,Zn,1.666666667
415,6,21,2021,6/21/2021,W,1,As_STD,13.50505051
416,6,21,2021,6/21/2021,W,1,As_KED,10.65656566
417,6,21,2021,6/21/2021,W,1,As_Oshift,12.90909091
418,6,21,2021,6/21/2021,W,1,Se..77..77.77..ppb.,2.133127973
419,6,21,2021,6/21/2021,W,1,Se77_Oshift,0.289242598
420,6,21,2021,6/21/2021,W,1,Se78_Oshift,0.093008281
421,6,21,2021,6/21/2021,W,1,Se80_Oshift,0.151515152
422,6,21,2021,6/21/2021,W,1,Se..82..82.82..ppb.,0.507804601
