"","Sample.Id","Element","conc","Concentration"
"318","6_21_21_F_9","As_Oshift",4.392,8.87272727272727
"319","6_21_21_F_9","Se..77..77.77..ppb.",0.372,0.751515151515152
"320","6_21_21_F_9","Se77_Oshift",0.055,0.111111111111111
"321","6_21_21_F_9","Se78_Oshift",0.054,0.109090909090909
"322","6_21_21_F_9","Se80_Oshift",0.072,0.145454545454545
"323","6_21_21_F_9","Se..82..82.82..ppb.",0.258,0.521212121212121
"324","6_21_21_F_9","Se82_Oshift",0.044,0.0888888888888889
"325","6_21_21_F_9","Mo_NH3",3.342,6.75151515151515
"326","6_21_21_F_9","Mo_Oshift",3.32,6.70707070707071
"327","6_21_21_F_9","Cd111",0.013,0.0262626262626263
"328","6_21_21_F_9","Cd114",0.017,0.0343434343434343
"329","6_21_21_F_9","Pb_STD",0.148,0.298989898989899
"330","6_21_21_F_9","Pb_NH3",0.15,0.303030303030303
"331","6_21_21_F_10","Na",6387.737,12904.5191919192
"332","6_21_21_F_10","Mg",7145.52,14435.3939393939
"333","6_21_21_F_10","Al",5.244,10.5939393939394
"334","6_21_21_F_10","P",27.045,54.6363636363636
"335","6_21_21_F_10","S",11816.968,23872.6626262626
"336","6_21_21_F_10","K",1660.39,3354.32323232323
"337","6_21_21_F_10","Ca",30942.394,62509.8868686869
"338","6_21_21_F_10","V",0.878,1.77373737373737
"339","6_21_21_F_10","Cr_KED",0.069,0.139393939393939
"340","6_21_21_F_10","Cr_NH3",0.059,0.119191919191919
"341","6_21_21_F_10","Fe_NH3",7.159,14.4626262626263
"342","6_21_21_F_10","Mn",9.85,19.8989898989899
"343","6_21_21_F_10","Fe_KED",7.446,15.0424242424242
"344","6_21_21_F_10","Co",0.027,0.0545454545454545
"345","6_21_21_F_10","Ni",0.291,0.587878787878788
"346","6_21_21_F_10","Cu_KED",3.855,7.78787878787879
"347","6_21_21_F_10","Cu_NH3",3.859,7.7959595959596
"348","6_21_21_F_10","Zn",1.42,2.86868686868687
"349","6_21_21_F_10","As_STD",4.718,9.53131313131313
"350","6_21_21_F_10","As_KED",3.977,8.03434343434343
"351","6_21_21_F_10","As_Oshift",5.374,10.8565656565657
"352","6_21_21_F_10","Se..77..77.77..ppb.",0.302,0.61010101010101
"353","6_21_21_F_10","Se77_Oshift",0.075,0.151515151515152
"354","6_21_21_F_10","Se78_Oshift",0.106,0.214141414141414
"355","6_21_21_F_10","Se80_Oshift",0.094,0.18989898989899
"356","6_21_21_F_10","Se..82..82.82..ppb.",0.363,0.733333333333333
"357","6_21_21_F_10","Se82_Oshift",0.085,0.171717171717172
"358","6_21_21_F_10","Mo_NH3",2.834,5.72525252525253
"359","6_21_21_F_10","Mo_Oshift",3.137,6.33737373737374
"360","6_21_21_F_10","Cd111",0.016,0.0323232323232323
"361","6_21_21_F_10","Cd114",0.016,0.0323232323232323
"362","6_21_21_F_10","Pb_STD",0.129,0.260606060606061
